id_x,budget,popularity,revenue,title,avg_rating,rate_count,year,month,day,director_name,gender,movie_expense,profit,movie_performance,total_profit,director_performance,directors_rank,Release_Season,day_type,avg_profit_per_year,avg_total_profit_per_year
43634,200.0,46,491.87,Oz: The Great and Powerful,5.7,3530,2013,Mar,Thursday,Sam Raimi,Male,114.4590909090909,291.87,Normal,2191.95,Normal,10.0,Spring,Weekday,100.15491228070175,899.7371929824561
43638,200.0,51,219.85,Green Lantern,5.1,2487,2011,Jun,Thursday,Martin Campbell,Male,104.0,19.849999999999994,Normal,1086.34,Normal,35.0,Summer,Weekday,96.11925373134328,946.4002985074627
43640,200.0,71,371.35,Terminator Salvation,5.9,2463,2009,May,Wednesday,McG,Male,105.0,171.35000000000002,Normal,577.76,Normal,76.0,Spring,Weekday,120.02454545454545,822.805606060606
43641,190.0,102,1506.25,Furious 7,7.3,4176,2015,Apr,Wednesday,James Wan,Male,151.32857142857142,1316.25,Blockbuster,2091.61,Normal,11.0,Spring,Weekday,131.90341463414634,1011.5417073170731
43642,200.0,81,531.86,World War Z,6.7,5560,2013,Jun,Thursday,Marc Forster,Male,136.3125,331.86,Blockbuster,899.59,Normal,43.0,Summer,Weekday,100.15491228070175,899.7371929824561
43643,250.0,118,747.86,X-Men: Days of Future Past,7.5,6032,2014,May,Thursday,Bryan Singer,Male,105.125,497.86,Blockbuster,1649.2299999999998,Normal,21.0,Spring,Weekday,137.50490566037737,872.9090566037736
43645,195.0,43,197.69,Jack the Giant Slayer,5.5,2598,2013,Feb,Wednesday,Bryan Singer,Male,50.125,2.6899999999999977,Normal,1649.2299999999998,Normal,21.0,Winter,Weekday,100.15491228070175,899.7371929824561
43647,150.0,62,335.15,Prince of Persia: The Sands of Time,6.2,2317,2010,May,Wednesday,Mike Newell,Male,80.85714285714286,185.14999999999998,Normal,1048.33,Normal,36.0,Spring,Weekday,100.51301587301587,784.8712698412699
43648,180.0,56,407.6,Pacific Rim,6.7,4794,2013,Jul,Thursday,Guillermo del Toro,Male,99.2,227.60000000000002,Normal,501.58,Normal,90.0,Summer,Weekday,100.15491228070175,899.7371929824561
43649,195.0,28,1123.75,Transformers: Dark of the Moon,6.1,3299,2011,Jun,Tuesday,Michael Bay,Male,77.5,928.75,Blockbuster,4422.54,Best,4.0,Summer,Weekday,96.11925373134328,946.4002985074627
43650,185.0,75,786.64,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,2008,May,Wednesday,Steven Spielberg,Male,121.13461538461539,601.64,Blockbuster,7016.24,Best,1.0,Spring,Weekday,97.81507462686567,777.1591044776119
43653,185.0,65,343.47,Star Trek Beyond,6.6,2568,2016,Jul,Thursday,Justin Lin,Male,105.2,158.47000000000003,Normal,729.08,Normal,56.0,Summer,Weekday,157.44346153846152,1130.3807692307694
43655,140.0,22,258.02,Rush Hour 3,6.1,783,2007,Aug,Wednesday,Brett Ratner,Male,46.111111111111114,118.01999999999998,Normal,886.59,Normal,45.0,Summer,Weekday,100.77203703703705,706.7029629629629
43656,200.0,45,769.65,2012,5.6,4903,2009,Oct,Saturday,Roland Emmerich,Male,91.4375,569.65,Blockbuster,2088.32,Normal,12.0,Autumn,Weekend,120.02454545454545,822.805606060606
43657,200.0,39,325.23,A Christmas Carol,6.6,1095,2009,Nov,Wednesday,Robert Zemeckis,Male,123.84615384615384,125.23000000000002,Normal,2600.62,Best,7.0,Autumn,Weekday,120.02454545454545,822.805606060606
43658,176.0,85,183.99,Jupiter Ascending,5.2,2768,2015,Feb,Wednesday,Lilly Wachowski,Female,65.41666666666667,7.990000000000009,Normal,1248.56,Normal,29.0,Winter,Weekday,131.90341463414634,1011.5417073170731
43660,180.0,67,748.81,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,2005,Dec,Wednesday,Andrew Adamson,Male,52.0,568.81,Blockbuster,1966.86,Normal,15.0,Winter,Weekday,76.39154929577465,964.4594366197182
43661,178.0,139,543.93,X-Men: Apocalypse,6.4,4721,2016,May,Wednesday,Bryan Singer,Male,33.125,365.92999999999995,Blockbuster,1649.2299999999998,Normal,21.0,Spring,Weekday,157.44346153846152,1130.3807692307694
43662,185.0,187,1004.56,The Dark Knight,8.2,12002,2008,Jul,Wednesday,Christopher Nolan,Male,59.375,819.56,Blockbuster,3222.48,Best,5.0,Summer,Weekday,97.81507462686567,777.1591044776119
43665,140.0,120,585.17,Iron Man,7.4,8776,2008,Apr,Wednesday,Jon Favreau,Male,37.16666666666667,445.16999999999996,Blockbuster,1801.85,Normal,18.0,Spring,Weekday,97.81507462686567,777.1591044776119
43666,170.0,32,185.77,Hugo,7.0,2141,2011,Nov,Tuesday,Martin Scorsese,Male,121.36315789473684,15.77000000000001,Normal,1029.52,Normal,37.0,Autumn,Weekday,96.11925373134328,946.4002985074627
43667,170.0,40,222.1,Wild Wild West,5.1,1020,1999,Jun,Tuesday,Barry Sonnenfeld,Male,66.39285714285714,52.099999999999994,Normal,1467.1799999999998,Normal,25.0,Summer,Weekday,43.911875,613.3409375
43668,145.0,60,401.13,The Mummy: Tomb of the Dragon Emperor,5.2,1387,2008,Jul,Tuesday,Rob Cohen,Male,79.55555555555556,256.13,Normal,766.06,Normal,53.0,Summer,Weekday,97.81507462686567,777.1591044776119
43669,175.0,90,745.0,Suicide Squad,5.9,7458,2016,Aug,Tuesday,David Ayer,Male,123.83333333333334,570.0,Blockbuster,787.0,Normal,52.0,Summer,Weekday,157.44346153846152,1130.3807692307694
43670,175.0,27,173.0,Evan Almighty,5.3,1151,2007,Jun,Saturday,Tom Shadyac,Male,106.57142857142857,-2.0,Normal,850.17,Normal,48.0,Summer,Weekend,100.77203703703705,706.7029629629629
43671,178.0,79,370.54,Edge of Tomorrow,7.6,4858,2014,May,Tuesday,Doug Liman,Male,112.04285714285714,192.54000000000002,Normal,880.46,Normal,46.0,Spring,Weekday,137.50490566037737,872.9090566037736
43672,175.0,44,264.22,Waterworld,5.9,992,1995,Jul,Friday,Kevin Reynolds,Male,115.4,89.22000000000003,Normal,478.49000000000007,Normal,95.0,Summer,Weekday,72.99666666666667,826.0618181818182
43675,175.0,94,966.55,The Jungle Book,6.7,2892,2016,Apr,Thursday,Jon Favreau,Male,72.16666666666667,791.55,Blockbuster,1801.85,Normal,18.0,Spring,Weekday,157.44346153846152,1130.3807692307694
43676,200.0,77,623.93,Iron Man 2,6.6,6849,2010,Apr,Wednesday,Jon Favreau,Male,97.16666666666667,423.92999999999995,Blockbuster,1801.85,Normal,18.0,Spring,Weekday,100.51301587301587,784.8712698412699
43687,165.0,47,305.88,The Polar Express,6.4,1474,2004,Nov,Wednesday,Robert Zemeckis,Male,88.84615384615384,140.88,Normal,2600.62,Best,7.0,Autumn,Weekday,100.4783606557377,813.7229508196721
